变量名,形状,数据类型,内存占用(MB),最小值,最大值,平均值,标准差
Beam_Angle_BS_h,"(336000, 256)",float64,656.25,-78.75,78.75,0.0,51.5539765682532
Beam_Angle_BS_v,"(336000, 256)",float64,656.25,22.5,157.5,90.0,50.31152949374527
Beam_Angle_UE_h,"(336000, 256)",float64,656.25,-67.5,67.5,0.0,50.31152949374527
Beam_Angle_UE_v,"(336000, 256)",float64,656.25,45.0,135.0,90.0,45.0
Beam_ID_BS_h,"(336000, 256)",float64,656.25,1.0,8.0,4.5,2.29128784747792
Beam_ID_BS_v,"(336000, 256)",float64,656.25,1.0,4.0,2.5,1.118033988749895
Beam_ID_Total,"(336000, 256)",float64,656.25,1.0,256.0,128.5,73.90027063549903
Beam_ID_UE_h,"(336000, 256)",float64,656.25,1.0,4.0,2.5,1.118033988749895
Beam_ID_UE_v,"(336000, 256)",float64,656.25,1.0,2.0,1.5,0.5
Beam_ID_rx,"(336000, 256)",float64,656.25,1.0,8.0,4.5,2.29128784747792
Beam_ID_tx,"(336000, 256)",float64,656.25,1.0,32.0,16.5,9.233092656309694
N,"(1, 1)",float64,7.62939453125e-06,336000.0,336000.0,336000.0,0.0
rsrp,"(336000, 256)",float64,656.25,-243.392,-47.8578,-146.16114137491837,20.004043366211935
